
"TS019 - Migrant Indicator"
"ONS Crown Copyright Reserved [from Nomis on 22 May 2024]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Total: All usual residents","Address one year ago is the same as the address of enumeration","Address one year ago is student term-time or boarding school address in the UK","Migrant from within the UK: Address one year ago was in the UK","Migrant from outside the UK: Address one year ago was outside the UK"

"Leeds 001A","E01011698",1448,1367,5,75,1
"Leeds 001B","E01011699",1278,1184,3,87,4
"Leeds 001C","E01011701",1356,1224,2,126,4
"Leeds 001D","E01011702",1631,1390,9,203,29
"Leeds 001E","E01011703",1219,1137,6,74,2
"Leeds 002A","E01011697",2273,1884,7,376,6
"Leeds 002B","E01011700",1473,1320,1,149,3
"Leeds 002C","E01011704",2205,1947,9,246,3
"Leeds 002D","E01011705",1357,1265,1,85,6
"Leeds 003A","E01011581",1646,1463,7,173,3
"Leeds 003B","E01011582",1598,1510,5,82,1
"Leeds 003C","E01011583",1554,1458,8,81,7
"Leeds 003D","E01011584",1672,1572,1,95,4
"Leeds 004A","E01011569",1717,1572,5,137,3
"Leeds 004B","E01011571",1599,1444,5,144,6
"Leeds 004C","E01011572",1761,1637,3,118,3
"Leeds 004D","E01011573",1301,1243,2,54,2
"Leeds 004E","E01011574",1397,1274,3,117,3
"Leeds 005A","E01011707",1289,1198,11,79,1
"Leeds 005B","E01011709",2023,1838,5,173,7
"Leeds 005C","E01011710",1403,1291,3,91,18
"Leeds 005D","E01011711",1411,1297,4,103,7
"Leeds 005E","E01011712",1432,1322,1,102,7
"Leeds 006A","E01011561",1174,1063,2,99,10
"Leeds 006B","E01011696",1540,1422,4,107,7
"Leeds 006C","E01011706",1522,1370,13,133,6
"Leeds 006D","E01011708",1458,1354,7,89,8
"Leeds 006E","E01011713",1764,1625,4,133,2
"Leeds 007A","E01011570",2290,2107,10,162,11
"Leeds 007C","E01011576",1451,1322,5,110,14
"Leeds 007E","E01032503",1437,1311,9,103,14
"Leeds 007F","E01032504",1773,1657,11,99,6
"Leeds 008A","E01011266",2595,2254,13,308,20
"Leeds 008B","E01011270",1710,1569,10,122,9
"Leeds 008C","E01011279",1309,1210,7,90,2
"Leeds 008D","E01011280",2046,1891,5,139,11
"Leeds 009A","E01011265",1938,1731,4,195,8
"Leeds 009B","E01011267",1668,1568,3,96,1
"Leeds 009C","E01011271",2156,1975,5,168,8
"Leeds 009D","E01011272",1443,1361,4,77,1
"Leeds 010A","E01011268",1380,1289,2,89,0
"Leeds 010B","E01011273",1476,1311,6,158,1
"Leeds 010C","E01011274",1347,1251,2,90,4
"Leeds 010D","E01011275",1401,1303,1,96,1
"Leeds 011A","E01011264",1274,1197,2,74,1
"Leeds 011B","E01011269",1557,1423,0,131,3
"Leeds 011C","E01011276",1714,1499,2,208,5
